Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Equip,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17
Vision of Confluence,3186018373,"""6917529507126755797""",,Legendary,Scout Rifle,vaultofglass,Energy,Solar,1600,,Range,2,Warlock(1608),FALSE,FALSE,4,14,,75,65,62,63,20,0,0,42,180,47,16,45,0,0,0,0,0,0,0,0,0,10,FALSE,0,0,,,Precision Frame*,Hammer-Forged Rifling*,Smallbore,Armor-Piercing Rounds*,Light Mag,Zen Moment*,Frenzy*,Throne of Soot*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,
Sojourner's Tale,599895591,"""6917529442988414433""",,Legendary,Shotgun,seasonpass,Energy,Solar,1600,,Range,1,Warlock(1608),FALSE,FALSE,4,14,,56,35,70,77,12,0,0,40,65,54,6,63,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,,,Pinpoint Slug Frame*,Hammer-Forged Rifling*,Light Mag*,Moving Target*,Dragonfly*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,,,,,
Riskrunner,3089417789,"""6917529106788829727""",,Exotic,Submachine Gun,,Energy,Arc,1600,,Range,10,Warlock(1608),TRUE,FALSE,1,1,,100,50,20,80,13,0,0,55,900,15,41,71,0,0,0,0,0,0,0,0,0,41,FALSE,0,0,,,Arc Conductor*,Arrowhead Brake*,Extended Mag*,Superconductor*,Short-Action Stock*,Riskrunner Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,,,
Come to Pass,927567426,"""6917529815186792870""",,Legendary,Auto Rifle,wellspring,Energy,Arc,1600,,Reload Speed,1,Warlock(1608),FALSE,FALSE,5,16,,93,54,33,93,16,0,0,36,360,35,32,21,0,0,0,0,0,0,0,0,0,9,FALSE,0,0,,,High-Impact Frame*,Extended Barrel*,Ricochet Rounds*,Genesis*,Adaptive Munitions*,Tier 1 Weapon*,Psychohack*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,,
Compass Rose,2591111628,"""6917529427754147983""",,Legendary,Shotgun,events,Energy,Solar,1600,,Handling,1,Warlock(1608),FALSE,FALSE,4,14,Solstice,75,73,70,69,12,0,0,63,70,48,5,36,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,,,Precision Frame*,Smallbore*,Full Choke,Assault Mag*,Steady Rounds,Genesis*,One for All*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,,,
Gallu RR3,617501162,"""6917529815173012622""",,Legendary,Sniper Rifle,legendaryengram,Energy,Arc,1600,,Handling,1,Warlock(1608),FALSE,FALSE,5,17,,89,61,70,58,40,0,0,42,90,17,5,29,0,0,0,0,0,0,0,0,0,12,FALSE,0,0,omolon,,Adaptive Frame*,Extended Barrel*,Extended Mag*,No Distractions*,Focused Fury*,Tier 1 Weapon*,Omolon Fluid Dynamics*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,,
Tarnation,2721157927,"""6917529815157467575""",,Legendary,Grenade Launcher,wellspring,Power,Arc,1600,,Blast Radius,1,Warlock(1608),FALSE,FALSE,5,16,,63,29,0,0,13,36,48,33,150,24,5,16,0,0,0,0,0,0,0,0,0,7,FALSE,0,0,,,Rapid-Fire Frame*,Volatile Launch*,Spike Grenades*,Sticky Grenades,Field Prep*,Chain Reaction*,Tier 1 Weapon*,Psychohack*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,
Falling Guillotine,614426548,"""6917529244021771442""",,Legendary,Sword,seasonpass,Power,Void,1600,,Impact,3,Warlock(1608),TRUE,FALSE,3,11,,0,0,61,0,0,0,0,0,0,0,63,0,0,0,0,20,50,50,50,40,0,0,FALSE,0,0,,,Vortex Frame*,Hungry Edge*,Enduring Blade,Honed Edge,Balanced Guard*,Swordmaster's Guard,Tireless Blade*,Whirlwind Blade*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,
Commemoration,4230965989,"""6917529245368777658""",,Legendary,Machine Gun,deepstonecrypt,Power,Void,1600,,Range,1,Warlock(1608),TRUE,FALSE,4,12,,80,64,41,64,16,0,0,60,450,55,59,62,0,0,0,0,0,0,0,0,0,18,FALSE,0,0,,,Adaptive Frame*,Corkscrew Rifling*,Extended Barrel,Alloy Magazine*,Flared Magwell,Reconstruction*,Dragonfly*,Tier 1 Weapon*,Tracker Disabled*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Crucible Memento Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,
Tarantula,3335343363,"""6917529497716983620""",,Legendary,Linear Fusion Rifle,legendaryengram,Power,Arc,1600,,Stability,2,Warlock(1608),FALSE,FALSE,4,13,,75,58,44,55,25,0,0,49,0,23,6,20,533,0,0,0,0,0,0,0,0,6,FALSE,0,0,veist,,Precision Frame*,Chambered Compensator*,Fluted Barrel,Liquid Coils*,Particle Repeater,Genesis*,Wellspring*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Spoiler Alert,2588048270,"""6917529482596932046""",,Legendary,Sidearm,legendaryengram,KineticSlot,Kinetic,1600,,Reload Speed,2,Warlock(1608),FALSE,TRUE,4,15,,87,70,43,22,12,0,0,45,360,53,15,80,0,0,0,0,0,0,0,0,0,12,FALSE,0,0,,,Lightweight Frame*,QuickDot SAS*,Shortspec SAS,Alloy Magazine,High-Caliber Rounds*,Surplus*,Swashbuckler*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Midha's Reckoning,3969066556,"""6917529815241918751""",,Legendary,Fusion Rifle,kf,Energy,Arc,1600,,Range,4,Warlock(1608),FALSE,TRUE,5,18,,100,68,95,56,15,0,0,22,0,18,6,29,960,0,0,0,0,0,0,0,0,8,FALSE,0,1,,,High-Impact Frame*,Arrowhead Brake*,Smallbore,Enhanced Battery*,Ionized Battery,Pugilist*,Surrounded*,Tier 4 Weapon*,Runneth Over*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,*,,,
Thunderlord,3325463374,"""6917529815186798626""",,Exotic,Machine Gun,,Power,Arc,1600,,,,Warlock(1608),FALSE,TRUE,2,4,Festival of the Lost,70,90,41,65,15,0,0,60,450,68,62,60,0,0,0,0,0,0,0,0,0,26,FALSE,0,0,,,Reign Havoc*,Polygonal Rifling*,Armor-Piercing Rounds*,Lightning Rounds*,Feeding Frenzy*,Indra Soaring*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,
Ghost Primus,2505533224,"""6917529202186932470""",,Legendary,Auto Rifle,dcv,KineticSlot,Kinetic,1600,1060,Handling,10,Vault,FALSE,FALSE,1,1,,90,70,21,48,16,0,0,35,600,50,44,80,0,0,0,0,0,0,0,0,0,10,FALSE,0,19,,,Adaptive Frame*,Arrowhead Brake*,Corkscrew Rifling,Fluted Barrel,High-Impact Reserves*,Ambitious Assassin,Under Pressure*,Kinetic Damage Mod*,Masterwork Weapon*,,,,,,,,,
Cryosthesia 77K,603721696,"""6917529417875588040""",,Exotic,Sidearm,,KineticSlot,Stasis,1600,,,,Vault,FALSE,FALSE,4,14,,92,93,51,72,12,0,0,61,260,46,12,47,0,0,0,0,0,0,0,0,0,28,FALSE,0,0,,,LN2 Burst*,Polygonal Rifling*,Particle Repeater*,Liquid Cooling*,Polymer Grip*,Deletion Protocol*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,
Wish-Ender,814876684,"""6917529206375356945""",,Exotic,Combat Bow,dungeon,KineticSlot,Kinetic,1600,,,,Vault,TRUE,FALSE,2,4,,60,51,92,0,18,0,0,85,0,30,0,40,0,820,85,0,0,0,0,0,0,19,FALSE,0,0,,,Queen's Wrath*,High Tension String*,Anti-Taken Fletching*,Broadhead*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Sojourner's Tale,599895591,"""6917529352153090896""",,Legendary,Shotgun,seasonpass,Energy,Solar,1600,,Handling,1,Vault,TRUE,FALSE,4,14,,56,40,70,66,12,0,0,50,65,54,6,64,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,,,Pinpoint Slug Frame*,Full Bore,Polygonal Rifling*,Extended Mag,Light Mag*,Quickdraw*,Opening Shot*,Reefmade*,Targeting Adjuster*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
IKELOS_SMG_v1.0.2,2222560548,"""6917529830557275584""",,Legendary,Submachine Gun,contact,Energy,Arc,1600,,Handling,1,Vault,TRUE,FALSE,3,11,,90,37,22,49,14,0,0,35,750,39,28,68,0,0,0,0,0,0,0,0,0,12,FALSE,0,23,,,Aggressive Frame*,Corkscrew Rifling*,Fluted Barrel,Appended Mag,Flared Magwell*,Subsistence*,Demolitionist*,Freehand Grip*,Tier 1 Weapon*,Kill Tracker*,Crucible Tracker,,,,,,,
Funnelweb,3341893443,"""6917529857775519274""",,Legendary,Submachine Gun,legendaryengram,Energy,Void,1751,,Handling,1,Vault,TRUE,FALSE,5,16,,96,54,15,34,14,0,0,64,900,31,37,86,0,0,0,0,0,0,0,0,0,27,FALSE,0,243,veist,,Lightweight Frame*,Arrowhead Brake,Fluted Barrel*,Tactical Mag,Steady Rounds*,Subsistence*,Frenzy*,Goldjay*,Freehand Grip*,Tier 1 Weapon*,Veist Stinger*,Kill Tracker*,Crucible Tracker,,,,,
The Summoner,1907698332,"""6917529709459304683""",,Legendary,Auto Rifle,trials,Energy,Solar,1600,,Reload Speed,1,Vault,TRUE,FALSE,5,16,,72,62,21,52,16,0,0,58,600,57,42,70,0,0,0,0,0,0,0,0,0,24,FALSE,0,35,,,Adaptive Frame*,Corkscrew Rifling,Smallbore*,High-Caliber Rounds,Ricochet Rounds*,Dynamic Sway Reduction*,Rampage*,Dusted Tome*,Counterbalance Stock*,Tier 1 Weapon*,Alacrity*,One Quiet Moment,Kill Tracker*,Crucible Tracker,,,,
Sweet Business,1345867570,"""6917529034761247847""",,Exotic,Auto Rifle,,KineticSlot,Kinetic,1600,,,10,Vault,TRUE,FALSE,1,1,,100,80,18,35,16,0,0,55,360,0,45,5,0,0,0,0,0,0,0,0,0,32,FALSE,0,0,,,Payday*,Polygonal Rifling*,Armor-Piercing Rounds*,Business Time*,Composite Stock*,Sweet Business Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,,,
Sins of the Past,3691881271,"""6917529035243887228""",,Legendary,Rocket Launcher,dcv,Power,Solar,1600,1060,,,Vault,FALSE,FALSE,1,1,,57,74,0,0,20,100,34,74,15,36,1,67,0,0,0,0,0,0,0,0,0,3,FALSE,0,0,,,High-Impact Frame*,Confined Launch*,Linear Compensator,Smart Drift Control,Cluster Bomb*,Ambitious Assassin,Auto-Loading Holster*,Solar Damage Mod*,Masterwork Upgrade*,,,,,,,,,
Forbearance,613334176,"""6917529664517390563""",,Legendary,Grenade Launcher,votd,Energy,Arc,1600,,Blast Radius,3,Vault,TRUE,FALSE,5,16,,73,79,0,0,13,100,94,27,72,81,1,85,0,0,0,0,0,0,0,0,0,4,FALSE,0,836,,,Wave Frame*,Linear Compensator,Quick Launch*,High-Velocity Rounds*,Implosion Rounds,Ambitious Assassin*,Chain Reaction*,Heat-Shielded*,Tier 3 Weapon*,Souldrinker*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
The Hero's Burden,2488587246,"""6917529816606463469""",,Legendary,Submachine Gun,,Energy,Void,1600,,Reload Speed,1,Vault,FALSE,FALSE,5,17,,100,51,20,49,14,0,0,50,900,54,33,54,0,0,0,0,0,0,0,0,0,12,FALSE,0,0,suros,,Adaptive Frame*,Chambered Compensator*,Fluted Barrel,High-Caliber Rounds*,Light Mag,Well-Rounded*,Vorpal Weapon*,Tier 1 Weapon*,Skulking Wolf*,Suros Synergy,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Thorn,3973202132,"""6917529705366682828""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1600,,,,Vault,TRUE,FALSE,2,6,,100,85,84,49,14,0,0,55,140,40,9,85,0,0,0,0,0,0,0,0,0,21,FALSE,0,0,,,Mark of the Devourer*,Corkscrew Rifling*,Accurized Rounds*,Soul Devourer*,For the King*,Textured Grip*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,
Quickfang,1180270692,"""6917529030556151309""",,Legendary,Sword,campaign,Power,Arc,1600,1060,,,Vault,TRUE,FALSE,1,1,,0,0,62,0,0,0,0,0,0,0,74,0,0,0,0,30,20,30,50,80,0,0,FALSE,0,0,veist,,Lightweight Frame*,Jagged Edge,Honed Edge*,Tempered Edge,Swordmaster's Guard*,En Garde*,Arc Damage Mod*,Masterwork Upgrade*,,,,,,,,,,
The Hero's Burden,2488587246,"""6917529853157185865""",,Legendary,Submachine Gun,,Energy,Void,1600,,Reload Speed,1,Vault,FALSE,FALSE,5,17,,93,51,20,69,14,0,0,15,900,54,36,64,0,0,0,0,0,0,0,0,0,12,FALSE,0,0,suros,,Adaptive Frame*,Corkscrew Rifling*,Fluted Barrel,Appended Mag*,High-Caliber Rounds,Well-Rounded*,Iron Reach*,Major Spec*,Tier 1 Weapon*,Skulking Wolf*,Suros Synergy,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Prometheus Lens,19024058,"""6917529212437733199""",,Exotic,Trace Rifle,,Energy,Solar,1600,,,10,Vault,TRUE,FALSE,1,2,,100,100,6,70,16,0,0,60,1000,40,100,35,0,0,0,0,0,0,0,0,0,16,FALSE,0,0,,,Prismatic Inferno*,Chambered Compensator*,Projection Fuse*,Flame Refraction*,Composite Stock*,Prometheus Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,,,
Farewell,541188001,"""6917529880096873137""",,Legendary,Sidearm,servitor,KineticSlot,Kinetic,1600,,Handling,1,Vault,FALSE,FALSE,4,14,,100,71,43,38,12,0,0,40,360,49,15,55,0,0,0,0,0,0,0,0,0,12,FALSE,0,0,,,Lightweight Frame*,Extended Barrel*,Fluted Barrel,Accurized Rounds*,Extended Mag,Full Auto Trigger System*,Frenzy*,Tier 1 Weapon*,Kill Tracker*,Crucible Tracker,,,,,,,,
Out of Bounds,2988121501,"""6917529833695828911""",,Legendary,Submachine Gun,crucible,Energy,Arc,1600,,Handling,2,Vault,TRUE,FALSE,5,18,,95,55,15,47,14,0,0,43,900,28,36,69,0,0,0,0,0,0,0,0,0,23,FALSE,0,4,omolon,,Lightweight Frame*,Arrowhead Brake,Hammer-Forged Rifling*,High-Caliber Rounds*,Ricochet Rounds,Dynamic Sway Reduction*,Subsistence,Under-Over*,Tier 2 Weapon*,One Quiet Moment,Omolon Fluid Dynamics*,Kill Tracker,Crucible Tracker*,,,,,
Stay Frosty,2812100428,"""6917529850385962846""",,Legendary,Pulse Rifle,,KineticSlot,Stasis,1600,,Reload Speed,3,Vault,TRUE,FALSE,0,,The Dawning,55,70,27,43,18,0,0,57,450,59,31,72,0,0,0,0,0,0,0,0,0,20,FALSE,0,0,omolon,,Lightweight Frame*,Corkscrew Rifling*,Full Bore,Alloy Magazine*,Armor-Piercing Rounds,Killing Wind*,Desperado*,Tier 3 Weapon*,Dawning Surprise*,Omolon Fluid Dynamics,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Stubborn Oak,1977926913,"""6917529298128247728""",,Common,Shotgun,campaign,Energy,Solar,1600,,,,Vault,TRUE,FALSE,1,1,,47,21,80,17,12,0,0,14,55,27,5,18,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,field-forged,,Aggressive Frame*,Full Choke*,*,,,,,,,,,,,,,,,
Fractethyst,3184681056,"""6917529542355451185""",,Legendary,Shotgun,seasonpass,KineticSlot,Stasis,1600,,Handling,2,Vault,TRUE,FALSE,4,15,,75,72,70,79,12,0,0,52,65,50,5,43,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,,,Precision Frame*,Rifled Barrel,Smallbore*,Accurized Rounds*,Light Mag,Quickdraw*,Opening Shot*,Tyrian Abyss*,Freehand Grip*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Main Ingredient,253196586,"""6917529478792200540""",,Legendary,Fusion Rifle,strikes,Energy,Arc,1600,,Stability,1,Vault,TRUE,FALSE,3,11,,73,45,80,68,17,0,0,46,0,24,5,38,780,0,0,0,0,0,0,0,0,4,FALSE,0,0,fotc,,Precision Frame*,Cleanshot IS,Hitmark IS,Red Dot Micro*,Particle Repeater*,Projection Fuse,Under Pressure*,Tap the Trigger*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,,
Traveler's Chosen,1853180924,"""6917529438320875183""",,Exotic,Sidearm,,KineticSlot,Kinetic,1600,,,,Vault,FALSE,FALSE,3,11,,85,85,49,85,12,0,0,70,300,40,15,84,0,0,0,0,0,0,0,0,0,35,FALSE,0,0,,,Gathering Light*,QuickDot SAS*,Armor-Piercing Rounds*,Gift of the Traveler*,Short-Action Stock*,Kill Tracker,Crucible Tracker*,Empty Catalyst Socket*,,,,,,,,,,
Forerunner,2179048386,"""6917529833720565933""",,Exotic,Sidearm,30th,KineticSlot,Kinetic,1600,,,,Vault,FALSE,FALSE,4,15,,96,60,35,100,20,0,0,87,200,95,15,65,0,0,0,0,0,0,0,0,0,30,FALSE,0,0,,,Full Stop*,Smallbore*,Flared Magwell*,Pace Yourself*,Smooth Grip*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,
Felwinter's Lie,1179141605,"""6917529533204599051""",,Legendary,Shotgun,rasputin,Energy,Solar,1600,,Range,10,Vault,TRUE,FALSE,3,10,,62,33,80,41,12,0,0,19,55,34,4,26,0,0,0,0,0,0,0,0,0,2,FALSE,0,19,,,Shot Package*,Full Choke*,Accurized Rounds*,Slideshot,Surplus*,Opening Shot*,Vorpal Weapon,Dark Fluorescence*,Masterwork*,Kill Tracker,Crucible Tracker*,*,,,,,,
The Messenger,3658188704,"""6917529315790408058""",,Legendary,Pulse Rifle,trials,KineticSlot,Kinetic,1600,,Reload Speed,10,Vault,TRUE,FALSE,4,13,,60,42,33,76,18,0,0,54,340,48,37,31,0,0,0,0,0,0,0,0,0,20,FALSE,0,11,,,High-Impact Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Extended Mag,Appended Mag*,Rapid Hit*,Kill Clip*,Mind's Eye*,Targeting Adjuster*,Masterwork*,Kill Tracker,Crucible Tracker*,,,,,,
Empty Vessel,4255586669,"""6917529779546646484""",,Legendary,Grenade Launcher,strikes,Energy,Solar,1600,,Handling,1,Vault,TRUE,FALSE,4,14,,76,73,0,0,13,0,67,24,90,65,1,60,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,,,Lightweight Frame*,Volatile Launch*,Quick Launch,Disorienting Grenades*,Proximity Grenades,Quickdraw*,Vorpal Weapon*,Tier 1 Weapon*,Vanguard's Vindication*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,
Firefright,2778013407,"""6917529838597671996""",,Legendary,Auto Rifle,seasonpass,KineticSlot,Kinetic,1600,,Range,10,Vault,FALSE,FALSE,5,17,,100,38,29,73,17,0,0,51,450,44,34,51,0,0,0,0,0,0,0,0,0,17,TRUE,12,1,,,Precision Frame*,Arrowhead Brake*,Ricochet Rounds*,Threat Detector*,Adagio*,Flower Child*,Counterbalance Stock*,*,Extrovert*,Kill Tracker,Crucible Tracker*,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Brass Attacks,2121785039,"""6917529326729711903""",,Legendary,Sidearm,seasonpass,Energy,Void,1600,,Range,4,Vault,TRUE,FALSE,4,13,,90,89,56,55,13,0,0,38,325,7,32,36,0,0,0,0,0,0,0,0,0,22,FALSE,0,0,,,Aggressive Burst*,Arrowhead Brake,Hammer-Forged Rifling*,Extended Mag*,Armor-Piercing Rounds,Rapid Hit*,Rampage*,Tier 4 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Drang,2362471600,"""6917529340401494107""",,Legendary,Sidearm,nessus,Energy,Solar,1600,,Stability,1,Vault,TRUE,FALSE,1,1,,80,70,49,52,13,0,0,68,300,30,18,71,0,0,0,0,0,0,0,0,0,23,FALSE,0,0,,,Together Forever*,Smallbore*,Rampage*,Moving Target*,Accurized Rounds*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,,,
Piece of Mind,2097055732,"""6917529866946986713""",,Legendary,Pulse Rifle,seasonpass,KineticSlot,Kinetic,1600,,,,Vault,FALSE,FALSE,5,16,,68,82,23,41,18,0,0,46,540,32,35,17,0,0,0,0,0,0,0,0,0,17,TRUE,1,0,,,Rapid-Fire Frame*,Extended Barrel*,Alloy Magazine*,Overflow*,Elemental Capacitor*,*,Land Tank*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,
Thoughtless,4067556514,"""6917529866946987105""",,Legendary,Sniper Rifle,seasonpass,KineticSlot,Stasis,1600,,,,Vault,FALSE,FALSE,5,16,,89,67,70,56,46,0,0,64,90,44,4,35,0,0,0,0,0,0,0,0,0,9,TRUE,1,0,,,Adaptive Frame*,Extended Barrel*,Steady Rounds*,Overflow*,Quickdraw*,*,Land Tank*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,
D.F.A.,575830664,"""6917529778684800503""",,Legendary,Hand Cannon,nightfall,KineticSlot,Kinetic,1600,,Reload Speed,2,Vault,TRUE,FALSE,5,17,,88,77,84,65,14,0,0,54,140,49,9,42,0,0,0,0,0,0,0,0,0,18,FALSE,0,88,,,Adaptive Frame*,Full Bore,Hammer-Forged Rifling*,Accurized Rounds*,Steady Rounds,Outlaw*,Rampage*,Warbrick*,Tier 2 Weapon*,Stunning Recovery,Vanguard's Vindication*,Kill Tracker*,Crucible Tracker,,,,,
Explosive Personality,4096943616,"""6917529859892221866""",,Legendary,Grenade Launcher,psiops,Energy,Solar,1600,,,,Vault,FALSE,FALSE,5,16,,71,67,0,0,13,100,72,38,72,78,1,68,0,0,0,0,0,0,0,0,0,1,TRUE,1,0,,,Wave Frame*,Confined Launch*,High-Velocity Rounds*,Threat Detector*,Unrelenting*,*,Land Tank*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,
Doom of Chelchis,1937552980,"""6917529837553557290""",,Legendary,Scout Rifle,kf,Energy,Void,1600,,,,Vault,FALSE,FALSE,5,18,,76,64,62,44,20,0,0,65,180,44,16,39,0,0,0,0,0,0,0,0,0,24,TRUE,1,32,,,Precision Frame*,Polygonal Rifling*,Steady Rounds*,Rangefinder*,Eye of the Storm*,*,Runneth Over*,Nightfall Memento Tracker,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Nightfall Memento*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Tarnished Mettle,2218569744,"""6917529840975951272""",,Legendary,Scout Rifle,plunder,Energy,Arc,1600,,,,Vault,TRUE,FALSE,5,18,,52,73,60,35,20,0,0,43,200,68,16,71,0,0,0,0,0,0,0,0,0,18,TRUE,10,1045,,,Lightweight Frame*,Corkscrew Rifling*,Flared Magwell*,Moving Target*,Dragonfly*,Argent Teratorn*,Minor Spec*,*,Right Hook*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Rat King,2362471601,"""6917529769338350097""",,Exotic,Sidearm,,KineticSlot,Kinetic,1600,,"Aim Assistance, Recoil Direction",10,Vault,TRUE,FALSE,1,1,,100,80,49,37,12,0,0,57,300,50,15,45,0,0,0,0,0,0,0,0,0,31,FALSE,0,1015,,,Rat Pack*,Smallbore*,Tactical Mag*,Vermin*,Smooth Grip*,Climate Change*,Rat King Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,
Ancient Gospel,48643186,"""6917529867629094071""",,Legendary,Hand Cannon,garden,Energy,Solar,1600,,Stability,1,Vault,TRUE,FALSE,3,8,,100,79,84,58,14,0,0,66,140,43,11,46,0,0,0,0,0,0,0,0,0,10,FALSE,0,0,,,Adaptive Frame*,Chambered Compensator,Smallbore*,Accurized Rounds*,Tactical Mag,Rapid Hit*,Kill Clip*,Regal Daring*,Targeting Adjuster*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Herod-C,1788603939,"""6917529834916219490""",,Legendary,Auto Rifle,drifter,KineticSlot,Stasis,1600,,Range,5,Vault,TRUE,FALSE,5,16,,86,61,33,84,19,0,0,43,360,38,33,25,0,0,0,0,0,0,0,0,0,22,FALSE,0,0,hakke,,High-Impact Frame*,Chambered Compensator*,Fluted Barrel,Alloy Magazine*,Light Mag,Perpetual Motion*,Focused Fury*,Omnichronia*,Tier 5 Weapon*,Gun and Run*,Hakke Breach Armaments,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
Riskrunner,3089417789,"""6917529208876926058""",,Exotic,Submachine Gun,,Energy,Arc,1600,,Range,10,Vault,FALSE,FALSE,1,1,,100,50,20,80,13,0,0,55,900,15,41,71,0,0,0,0,0,0,0,0,0,41,FALSE,0,613,,,Arc Conductor*,Arrowhead Brake*,Extended Mag*,Superconductor*,Short-Action Stock*,Riskrunner Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Servant Leader,1107446438,"""6917529554160071513""",,Legendary,Scout Rifle,drifter,KineticSlot,Kinetic,1600,,Reload Speed,2,Vault,TRUE,FALSE,4,15,,54,67,45,39,26,0,0,47,260,31,17,23,0,0,0,0,0,0,0,0,0,10,FALSE,0,0,,,Rapid-Fire Frame*,Corkscrew Rifling*,Fluted Barrel,Accurized Rounds*,Tactical Mag,Outlaw*,Kill Clip*,Carbon Blood*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,
Alone as a god,3380742308,"""6917529202181117156""",,Legendary,Sniper Rifle,dcv,KineticSlot,Kinetic,1600,1060,,,Vault,FALSE,FALSE,1,1,,57,79,55,38,45,0,0,41,140,61,5,71,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,,,Rapid-Fire Frame*,Corkscrew Rifling*,Smallbore,Arrowhead Brake,Triple Tap*,Ambitious Assassin,Snapshot Sights*,Masterwork Upgrade*,,,,,,,,,,
